RY_External_ID__c,Enrolment_Key,Week_Start__c,Attendance_Pct__c,Assessment_Average_Pct__c,Overdue_Assignments__c,Risk_Band__c
RY-PRG-00053017,RY-ENR-00004291,2023-09-21,75.8,50.4,0,Low
RY-PRG-00055154,RY-ENR-00004460,2026-09-18,81.8,49.1,0,Low
RY-PRG-00055155,RY-ENR-00004460,2026-09-25,84.2,77.7,0,Low
RY-PRG-00055156,RY-ENR-00004460,2026-10-02,76.8,76.0,0,Low
RY-PRG-00055157,RY-ENR-00004460,2026-10-09,,79.9,0,Low
RY-PRG-00055158,RY-ENR-00004460,2026-10-16,67.9,66.4,1,Medium
RY-PRG-00055159,RY-ENR-00004460,2026-10-23,87.9,100.0,0,Low
RY-PRG-00055160,RY-ENR-00004460,2026-10-30,68.6,83.7,0,Medium
RY-PRG-00055161,RY-ENR-00004460,2026-11-06,93.5,87.9,0,Low
RY-PRG-00055162,RY-ENR-00004460,2026-11-13,65.8,65.9,0,Medium
RY-PRG-00055163,RY-ENR-00004460,2026-11-20,100.0,92.9,0,Low
RY-PRG-00055164,RY-ENR-00004460,2026-11-27,83.2,100.0,0,Low
RY-PRG-00055165,RY-ENR-00004460,2026-12-04,80.6,75.6,0,Low
RY-PRG-00055166,RY-ENR-00004460,2026-12-11,51.2,62.8,0,High
RY-PRG-00055167,RY-ENR-00004460,2026-12-18,72.0,61.8,0,Low
RY-PRG-00057397,RY-ENR-00004636,2023-10-31,79.6,72.9,0,Low
RY-PRG-00057398,RY-ENR-00004636,2023-11-07,83.4,91.8,0,Low
RY-PRG-00057399,RY-ENR-00004636,2023-11-14,59.2,57.2,1,Medium
RY-PRG-00057400,RY-ENR-00004636,2023-11-21,78.4,77.6,0,Low
RY-PRG-00057401,RY-ENR-00004636,2023-11-28,52.5,39.4,2,High
RY-PRG-00057402,RY-ENR-00004636,2023-12-05,80.5,70.2,0,Low
RY-PRG-00057403,RY-ENR-00004636,2023-12-12,73.0,53.4,0,Low
RY-PRG-00057404,RY-ENR-00004636,2023-12-19,77.6,70.6,0,Low
RY-PRG-00057405,RY-ENR-00004636,2023-12-26,72.4,48.8,0,Low
RY-PRG-00057406,RY-ENR-00004636,2024-01-02,86.1,78.0,0,Low
RY-PRG-00057407,RY-ENR-00004636,2024-01-09,62.5,76.4,1,Medium
RY-PRG-00057408,RY-ENR-00004636,2024-01-16,68.3,93.6,0,Medium
RY-PRG-00057409,RY-ENR-00004636,2024-01-23,100.0,95.1,0,Low
RY-PRG-00057410,RY-ENR-00004636,2024-01-30,74.8,73.2,0,Low
RY-PRG-00057411,RY-ENR-00004636,2024-02-06,70.1,86.2,0,Medium
RY-PRG-00057412,RY-ENR-00004636,2024-02-13,64.0,71.4,0,Medium
RY-PRG-00057413,RY-ENR-00004636,2024-02-20,37.5,57.2,1,High
RY-PRG-00057414,RY-ENR-00004636,2024-02-27,56.5,80.0,0,Medium
RY-PRG-00057415,RY-ENR-00004636,2024-03-05,72.4,70.1,0,Low
RY-PRG-00071629,RY-ENR-00005750,2023-10-18,67.6,66.3,0,Medium
RY-PRG-00071630,RY-ENR-00005750,2023-10-25,80.7,67.0,0,Low
RY-PRG-00071631,RY-ENR-00005750,2023-11-01,84.2,77.0,0,Low
RY-PRG-00071632,RY-ENR-00005750,2023-11-08,90.7,88.0,0,Low
RY-PRG-00071633,RY-ENR-00005750,2023-11-15,96.6,94.4,0,Low
RY-PRG-00071634,RY-ENR-00005750,2023-11-22,83.4,96.1,0,Low
RY-PRG-00071635,RY-ENR-00005750,2023-11-29,100.0,85.1,0,Low
RY-PRG-00071636,RY-ENR-00005750,2023-12-06,100.0,89.9,0,Low
RY-PRG-00071637,RY-ENR-00005750,2023-12-13,68.9,62.2,0,Medium
RY-PRG-00071638,RY-ENR-00005750,2023-12-20,83.6,78.1,0,Low
RY-PRG-00075048,RY-ENR-00006021,2023-08-03,90.2,77.9,0,Low
RY-PRG-00075049,RY-ENR-00006021,2023-08-10,95.5,70.6,0,Low
RY-PRG-00075050,RY-ENR-00006021,2023-08-17,93.8,94.8,0,Low
RY-PRG-00075051,RY-ENR-00006021,2023-08-24,76.6,75.7,0,Low
RY-PRG-00075052,RY-ENR-00006021,2023-08-31,100.0,74.2,0,Low
RY-PRG-00075053,RY-ENR-00006021,2023-09-07,82.5,62.0,0,Low
RY-PRG-00075054,RY-ENR-00006021,2023-09-14,85.1,70.2,0,Low
RY-PRG-00075055,RY-ENR-00006021,2023-09-21,73.3,72.9,0,Low
RY-PRG-00075056,RY-ENR-00006021,2023-09-28,92.8,73.9,0,Low
RY-PRG-00075057,RY-ENR-00006021,2023-10-05,69.4,56.6,0,Medium
RY-PRG-00075058,RY-ENR-00006021,2023-10-12,78.6,53.7,0,Low
RY-PRG-00075059,RY-ENR-00006021,2023-10-19,65.6,84.3,0,Medium
RY-PRG-00075060,RY-ENR-00006021,2023-10-26,72.7,37.4,0,Low
RY-PRG-00075061,RY-ENR-00006021,2023-11-02,73.6,73.4,0,Low
RY-PRG-00075062,RY-ENR-00006021,2023-11-09,42.2,21.6,1,High
RY-PRG-00075063,RY-ENR-00006021,2023-11-16,48.6,27.4,2,High
RY-PRG-00075064,RY-ENR-00006021,2023-11-23,88.5,78.8,0,Low
RY-PRG-00075065,RY-ENR-00006021,2023-11-30,86.3,81.2,0,Low
RY-PRG-00075066,RY-ENR-00006021,2023-12-07,67.7,86.1,0,Medium
RY-PRG-00101986,RY-ENR-00008200,2023-05-29,76.3,78.4,0,Low
RY-PRG-00101987,RY-ENR-00008200,2023-06-05,93.5,83.0,0,Low
RY-PRG-00101988,RY-ENR-00008200,2023-06-12,61.1,54.9,1,Medium
RY-PRG-00101989,RY-ENR-00008200,2023-06-19,86.1,76.1,0,Low
RY-PRG-00101990,RY-ENR-00008200,2023-06-26,66.8,64.9,0,Medium
RY-PRG-00101991,RY-ENR-00008200,2023-07-03,79.7,61.6,0,Low
RY-PRG-00101992,RY-ENR-00008200,2023-07-10,74.3,66.4,0,Low
RY-PRG-00101993,RY-ENR-00008200,2023-07-17,63.0,61.5,0,Medium
RY-PRG-00101994,RY-ENR-00008200,2023-07-24,76.3,71.2,0,Low
RY-PRG-00101995,RY-ENR-00008200,2023-07-31,67.4,55.8,0,Medium
RY-PRG-00106999,RY-ENR-00008600,2024-02-23,83.1,72.4,0,Low
RY-PRG-00107000,RY-ENR-00008600,2024-03-01,95.8,88.2,0,Low
RY-PRG-00107001,RY-ENR-00008600,2024-03-08,79.3,68.0,0,Low
RY-PRG-00107002,RY-ENR-00008600,2024-03-15,,100.0,0,Low
RY-PRG-00107003,RY-ENR-00008600,2024-03-22,97.5,82.8,0,Low
RY-PRG-00107004,RY-ENR-00008600,2024-03-29,82.3,72.2,0,Low
RY-PRG-00107005,RY-ENR-00008600,2024-04-05,81.5,79.0,0,Low
RY-PRG-00107006,RY-ENR-00008600,2024-04-12,77.7,75.2,0,Low
RY-PRG-00107007,RY-ENR-00008600,2024-04-19,86.7,70.9,0,Low
RY-PRG-00107008,RY-ENR-00008600,2024-04-26,82.0,63.4,0,Low
RY-PRG-00107009,RY-ENR-00008600,2024-05-03,71.8,62.2,0,Medium
RY-PRG-00107010,RY-ENR-00008600,2024-05-10,76.9,84.1,0,Low
RY-PRG-00107011,RY-ENR-00008600,2024-05-17,73.1,79.0,0,Low
RY-PRG-00107012,RY-ENR-00008600,2024-05-24,71.7,65.6,0,Medium
RY-PRG-00107013,RY-ENR-00008600,2024-05-31,85.6,64.6,0,Low
RY-PRG-00107014,RY-ENR-00008600,2024-06-07,58.3,41.9,1,Medium
RY-PRG-00107015,RY-ENR-00008600,2024-06-14,71.4,83.7,0,Medium
RY-PRG-00107016,RY-ENR-00008600,2024-06-21,70.5,53.6,0,Medium
RY-PRG-00107017,RY-ENR-00008600,2024-06-28,49.6,27.8,1,High
RY-PRG-00120122,RY-ENR-00009659,2026-02-09,100.0,61.8,0,Low
RY-PRG-00120123,RY-ENR-00009659,2026-02-16,83.5,66.0,0,Low
RY-PRG-00120124,RY-ENR-00009659,2026-02-23,75.3,72.5,0,Low
RY-PRG-00120125,RY-ENR-00009659,2026-03-02,74.7,50.2,0,Low
RY-PRG-00120126,RY-ENR-00009659,2026-03-09,76.4,78.0,0,Low
RY-PRG-00120127,RY-ENR-00009659,2026-03-16,86.8,92.6,0,Low
RY-PRG-00120128,RY-ENR-00009659,2026-03-23,54.4,75.5,1,High
RY-PRG-00120129,RY-ENR-00009659,2026-03-30,94.2,79.0,0,Low
RY-PRG-00120130,RY-ENR-00009659,2026-04-06,75.0,76.5,0,Low
RY-PRG-00120131,RY-ENR-00009659,2026-04-13,89.0,74.4,0,Low
RY-PRG-00120132,RY-ENR-00009659,2026-04-20,74.7,73.6,0,Low
RY-PRG-00128510,RY-ENR-00010330,2023-08-24,78.8,98.4,0,Low
RY-PRG-00128511,RY-ENR-00010330,2023-08-31,71.2,59.3,0,Medium
RY-PRG-00128512,RY-ENR-00010330,2023-09-07,43.9,56.8,3,High
RY-PRG-00128513,RY-ENR-00010330,2023-09-14,67.4,78.8,0,Medium
RY-PRG-00128514,RY-ENR-00010330,2023-09-21,56.8,61.2,0,Medium
RY-PRG-00128515,RY-ENR-00010330,2023-09-28,96.7,98.9,0,Low
RY-PRG-00128516,RY-ENR-00010330,2023-10-05,75.9,83.2,0,Low
RY-PRG-00128517,RY-ENR-00010330,2023-10-12,54.6,83.9,0,High
RY-PRG-00128518,RY-ENR-00010330,2023-10-19,79.2,53.6,0,Low
RY-PRG-00128519,RY-ENR-00010330,2023-10-26,87.6,60.0,0,Low
RY-PRG-00128520,RY-ENR-00010330,2023-11-02,83.5,57.8,0,Low
RY-PRG-00128521,RY-ENR-00010330,2023-11-09,92.1,100.0,0,Low
RY-PRG-00128522,RY-ENR-00010330,2023-11-16,67.1,73.9,0,Medium
RY-PRG-00128523,RY-ENR-00010330,2023-11-23,93.3,72.5,0,Low
RY-PRG-00148923,RY-ENR-00011966,2022-12-27,87.9,80.5,0,Low
RY-PRG-00148924,RY-ENR-00011966,2023-01-03,70.7,38.2,0,Medium
RY-PRG-00148925,RY-ENR-00011966,2023-01-10,61.4,46.7,0,Medium
RY-PRG-00148926,RY-ENR-00011966,2023-01-17,97.7,79.7,0,Low
RY-PRG-00148927,RY-ENR-00011966,2023-01-24,71.2,62.9,0,Medium
RY-PRG-00148928,RY-ENR-00011966,2023-01-31,81.4,85.5,0,Low
RY-PRG-00148929,RY-ENR-00011966,2023-02-07,81.3,82.2,0,Low
RY-PRG-00148930,RY-ENR-00011966,2023-02-14,87.9,93.1,0,Low
RY-PRG-00148931,RY-ENR-00011966,2023-02-21,55.0,86.6,1,Medium
RY-PRG-00148932,RY-ENR-00011966,2023-02-28,79.1,85.7,0,Low
RY-PRG-00148933,RY-ENR-00011966,2023-03-07,75.3,85.3,0,Low
