RY_External_ID__c,Name,Account_Key,Applicant_Key,Campaign_Key,Intake_Key,CloseDate,RY_Sample_Stage__c,RY_Expected_Value_ZAR__c
RY-OPP-00226192,Storytelling for Impact & Influence - Closed Lost,,RY-CONT-01113449,,RY-INTAKE-022,2024-08-22,Closed Lost,6310.95
RY-OPP-00688059,Part-Time Higher Certificate in Business Management - Closed Won,,RY-CONT-00133642,,RY-INTAKE-042,2024-09-19,Closed Won,
RY-OPP-00050131,Desktop Publishing with InDesign - Application Sent,,RY-CONT-00023001,,RY-INTAKE-039,2024-08-12,Application Sent,
RY-OPP-00224498,Part-Time Postgraduate Diploma in Digital Marketing - Enquiry,,RY-CONT-00062307,,RY-INTAKE-052,2024-08-18,Enquiry,
RY-OPP-00621355,Storytelling for Impact & Influence - Qualification,,RY-CONT-00029564,,RY-INTAKE-022,2024-11-12,Qualification,5436.27
RY-OPP-00095343,Customer Experience - Closed Lost,,RY-CONT-01113292,,RY-INTAKE-033,2024-08-01,Closed Lost,11780.71
RY-OPP-00544323,Project Management - Application Received,,RY-CONT-00096220,,RY-INTAKE-025,2024-10-11,Application Received,12748.64
RY-OPP-00419600,Part-Time Higher Certificate in Business Management - Offer Made,,RY-CONT-01133146,,RY-INTAKE-042,2024-10-09,Offer Made,
RY-OPP-00444161,Shopper Marketing - Offer Made,,RY-CONT-00167071,,RY-INTAKE-040,2024-09-12,Offer Made,14466.38
RY-OPP-00124743,Interior Decorating - Application Sent,,RY-CONT-00139681,,RY-INTAKE-023,2024-09-18,Application Sent,15521.32
RY-OPP-00354288,Sports Sponsorship Marketing - Closed Lost,,RY-CONT-01129134,,RY-INTAKE-049,2024-05-08,Closed Lost,
RY-OPP-00357894,Digital Content & Copywriting - Closed Won,,RY-CONT-01116302,,RY-INTAKE-029,2024-05-08,Closed Won,14495.39
RY-OPP-00439996,Part-Time Higher Certificate in Business Management - Offer Made,,RY-CONT-01111994,,RY-INTAKE-042,2024-04-24,Offer Made,
RY-OPP-00302086,Data Analysis - Offer Made,,RY-CONT-00108783,,RY-INTAKE-021,2024-05-05,Offer Made,12871.55
RY-OPP-00447531,Strategic Foresight for Leaders - Closed Won,,RY-CONT-00133642,,RY-INTAKE-054,2024-06-29,Closed Won,21785.72
RY-OPP-00270449,Digital Marketing Professional - Closed Lost,,RY-CONT-00176538,,RY-INTAKE-037,2024-05-15,Closed Lost,
RY-OPP-00019938,User Experience Design - Closed Won,,RY-CONT-00174171,,RY-INTAKE-019,2024-06-13,Closed Won,
RY-OPP-00006310,Business Analysis - Closed Lost,,RY-CONT-00188767,,RY-INTAKE-020,2024-05-06,Closed Lost,12869.83
RY-OPP-00165865,Part-Time Higher Certificate in Graphic Design - Closed Won,,RY-CONT-01126739,,RY-INTAKE-053,2024-07-16,Closed Won,
RY-OPP-00180443,Brand as Capital - Closed Lost,,RY-CONT-00199615,,RY-INTAKE-046,2024-07-06,Closed Lost,24609.2
RY-OPP-00348032,Customer Experience - Offer Made,,RY-CONT-00205605,,RY-INTAKE-033,2024-03-24,Offer Made,12998.64
RY-OPP-00009294,Higher Certificate in Marketing and Branding - Closed Won,,RY-CONT-01134532,,RY-INTAKE-044,2024-05-04,Closed Won,
RY-OPP-00554397,Digital Content & Copywriting - Application Sent,,RY-CONT-00035186,,RY-INTAKE-029,2024-06-03,Application Sent,10776.82
RY-OPP-00434684,Operational Finance - Application Sent,,RY-CONT-00110687,,RY-INTAKE-051,2024-04-06,Application Sent,12118.33
RY-OPP-00202296,Public Relations - Enquiry,,RY-CONT-00000359,,RY-INTAKE-057,2024-02-20,Enquiry,12180.83
RY-OPP-00047272,Higher Certificate in Business Management - Enquiry,,RY-CONT-00172159,,RY-INTAKE-009,2024-01-31,Enquiry,
RY-OPP-00617363,Part-Time Postgraduate Diploma in Management - Closed Won,,RY-CONT-01126805,RY-CAMP-00000015,RY-INTAKE-041,2024-01-18,Closed Won,
RY-OPP-00195254,Rebel Leadership - Qualification,,RY-CONT-00108362,,RY-INTAKE-047,2024-02-18,Qualification,21056.25
RY-OPP-00629491,Brand as Capital - Application Received,,RY-CONT-00056903,,RY-INTAKE-046,2024-03-07,Application Received,20046.68
RY-OPP-00586463,Storytelling for Impact & Influence - Enquiry,,RY-CONT-00114804,,RY-INTAKE-022,2024-04-04,Enquiry,5214.46
RY-OPP-00144822,Sustainable Marketing - Enquiry,,RY-CONT-01136302,,RY-INTAKE-050,2023-12-11,Enquiry,
RY-OPP-00697885,Digital Content & Copywriting - Closed Won,,RY-CONT-00056805,,RY-INTAKE-029,2023-12-20,Closed Won,11759.41
RY-OPP-00244396,Copywriting - Closed Won,,RY-CONT-01119261,,RY-INTAKE-030,2024-01-29,Closed Won,11167.57
RY-OPP-00176754,Storytelling for Impact & Influence - Enquiry,,RY-CONT-00047290,,RY-INTAKE-022,2024-01-12,Enquiry,5270.64
RY-OPP-00419466,Brand as Capital - Application Received,,RY-CONT-00029564,,RY-INTAKE-046,2024-02-22,Application Received,26900.32
RY-OPP-00517742,User Experience Design - Application Received,,RY-CONT-00080973,,RY-INTAKE-019,2023-12-05,Application Received,
RY-OPP-00562489,Data Analysis for Marketers - Closed Won,,RY-CONT-00048500,,RY-INTAKE-034,2024-03-20,Closed Won,10670.21
RY-OPP-00536374,Marketing Strategy - Application Sent,,RY-CONT-00143741,,RY-INTAKE-036,2023-09-28,Application Sent,7635.54
RY-OPP-00595412,Management Development Programme: Agency Leadership - Application Received,,RY-CONT-00031014,,RY-INTAKE-048,2023-11-02,Application Received,32367.03
RY-OPP-00046051,Part-Time Higher Certificate in Graphic Design - Closed Lost,,RY-CONT-01112753,,RY-INTAKE-053,2023-12-15,Closed Lost,
RY-OPP-00486678,Digital Marketing Professional - Offer Made,,RY-CONT-00018403,,RY-INTAKE-037,2023-09-06,Offer Made,
RY-OPP-00171896,AI & Executive Judgement - Qualification,,RY-CONT-00062307,,RY-INTAKE-055,2024-01-15,Qualification,21194.16
RY-OPP-00223078,Digital Marketing Professional - Enquiry,,RY-CONT-00021343,,RY-INTAKE-037,2023-10-25,Enquiry,
RY-OPP-00659871,Higher Certificate in Marketing and Branding - Closed Lost,,RY-CONT-00038168,,RY-INTAKE-044,2023-07-28,Closed Lost,
RY-OPP-00020939,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Offer Made",,RY-CONT-00069092,RY-CAMP-00000161,RY-INTAKE-003,2023-11-01,Offer Made,
RY-OPP-00131909,Higher Certificate in Business Management - Closed Lost,,RY-CONT-00031014,,RY-INTAKE-009,2023-11-17,Closed Lost,
RY-OPP-00521081,Strategic Foresight for Leaders - Application Sent,,RY-CONT-00028716,,RY-INTAKE-054,2023-12-04,Application Sent,22312.71
RY-OPP-00082298,Mentorship - Offer Made,,RY-CONT-00141934,,RY-INTAKE-027,2023-07-20,Offer Made,5446.96
RY-OPP-00299058,Higher Certificate in Business Management - Enquiry,,RY-CONT-00122308,,RY-INTAKE-009,2023-09-27,Enquiry,
RY-OPP-00231622,Social Media Marketing - Application Sent,,RY-CONT-00062307,,RY-INTAKE-038,2023-11-11,Application Sent,
RY-OPP-00255925,AI & Executive Judgement - Enquiry,,RY-CONT-00044956,,RY-INTAKE-055,2023-10-28,Enquiry,21242.03
RY-OPP-00576269,Mentorship - Enquiry,,RY-CONT-00082392,,RY-INTAKE-027,2023-10-08,Enquiry,6169.15
RY-OPP-00533025,Higher Certificate in Business Management - Enquiry,,RY-CONT-00031063,,RY-INTAKE-045,2023-06-22,Enquiry,
RY-OPP-00318066,Graphic Design Intermediate with Adobe Photoshop - Closed Lost,,RY-CONT-00075389,RY-CAMP-00000128,RY-INTAKE-032,2023-06-18,Closed Lost,13780.19
RY-OPP-00704614,Customer Experience - Qualification,,RY-CONT-01125437,,RY-INTAKE-033,2023-06-20,Qualification,11206.27
RY-OPP-00404616,Project Management - Qualification,,RY-CONT-00182520,,RY-INTAKE-025,2023-06-14,Qualification,12959.59
RY-OPP-00693228,Performance Marketing - Closed Won,,RY-CONT-00040076,,RY-INTAKE-017,2023-05-20,Closed Won,9727.76
RY-OPP-00302602,Postgraduate Diploma in Digital Marketing - Application Received,,RY-CONT-00028716,,RY-INTAKE-014,2023-05-08,Application Received,
RY-OPP-00586593,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Qualification",,RY-CONT-00021261,,RY-INTAKE-035,2023-06-09,Qualification,
RY-OPP-00510954,Higher Certificate in Marketing and Branding - Closed Lost,,RY-CONT-00158770,,RY-INTAKE-012,2023-03-24,Closed Lost,
RY-OPP-00172387,Operational Finance - Enquiry,,RY-CONT-01134085,,RY-INTAKE-051,2023-06-16,Enquiry,12149.58
RY-OPP-00206296,Interior Decorating - Application Received,,RY-CONT-00144515,,RY-INTAKE-023,2023-07-25,Application Received,12385.74
RY-OPP-00665024,Digital Content & Copywriting - Application Sent,,RY-CONT-00189440,,RY-INTAKE-029,2023-06-14,Application Sent,13248.23
RY-OPP-00111770,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Enquiry",,RY-CONT-00122308,,RY-INTAKE-003,2023-04-24,Enquiry,
RY-OPP-00569261,Part-Time Postgraduate Diploma in Digital Marketing - Closed Won,,RY-CONT-01138223,,RY-INTAKE-052,2023-03-30,Closed Won,
RY-OPP-00186614,Copywriting - Application Received,,RY-CONT-00054274,,RY-INTAKE-030,2023-04-03,Application Received,11995.21
RY-OPP-00630463,Part-Time Postgraduate Diploma in Digital Marketing - Application Received,,RY-CONT-01128678,,RY-INTAKE-052,2023-05-03,Application Received,
RY-OPP-00334064,Media Planning - Qualification,,RY-CONT-00018637,,RY-INTAKE-026,2023-07-06,Qualification,11660.63
RY-OPP-00207591,Graphic Design Beginner - Offer Made,,RY-CONT-00014096,,RY-INTAKE-018,2023-02-24,Offer Made,15602.67
RY-OPP-00134973,Graphic Design Intermediate with Adobe Photoshop - Offer Made,,RY-CONT-01119248,,RY-INTAKE-032,2023-01-29,Offer Made,15587.06
RY-OPP-00105023,Strategic Foresight for Leaders - Application Received,,RY-CONT-01126442,,RY-INTAKE-054,2023-07-03,Application Received,20172.63
RY-OPP-00315103,Part-Time Higher Certificate in Graphic Design - Qualification,,RY-CONT-00050447,,RY-INTAKE-053,2023-02-15,Qualification,
RY-OPP-00639483,Data Analysis for Marketers - Enquiry,,RY-CONT-00027026,,RY-INTAKE-034,2023-03-04,Enquiry,12720.4
RY-OPP-00003429,Part-Time Higher Certificate in Business Management - Closed Won,,RY-CONT-00159874,RY-CAMP-00000322,RY-INTAKE-042,2023-01-04,Closed Won,
RY-OPP-00095756,Postgraduate Diploma in Digital Marketing - Closed Won,,RY-CONT-00182351,,RY-INTAKE-014,2023-03-26,Closed Won,
RY-OPP-00037384,Strategic Foresight for Leaders - Enquiry,,RY-CONT-00144515,,RY-INTAKE-054,2023-01-07,Enquiry,20385.62
RY-OPP-00581066,Postgraduate Diploma in Management - Application Sent,,RY-CONT-00100638,,RY-INTAKE-013,2023-01-10,Application Sent,
RY-OPP-00434464,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Closed Won",,RY-CONT-00150223,,RY-INTAKE-035,2023-02-17,Closed Won,
RY-OPP-00072019,Sports Sponsorship Marketing - Qualification,,RY-CONT-00173552,,RY-INTAKE-049,2022-12-18,Qualification,
RY-OPP-00147072,Graphic Design Intermediate with Adobe Photoshop - Closed Lost,,RY-CONT-01127140,,RY-INTAKE-032,2023-04-10,Closed Lost,14925.42
RY-OPP-00154761,Data Analysis - Application Received,,RY-CONT-00158912,,RY-INTAKE-021,2023-03-11,Application Received,11013.34
RY-OPP-00131531,User Experience Design - Closed Won,,RY-CONT-00182536,,RY-INTAKE-019,2022-11-14,Closed Won,
RY-OPP-00286098,AI & Executive Judgement - Closed Won,,RY-CONT-01114092,,RY-INTAKE-055,2023-02-23,Closed Won,21850.13
