RY_External_ID__c,Contact_Key,Lead_Key,Offering_Key,Enquiry_Date__c,Channel__c,Status__c
RY-ENQ-00213583,RY-CONT-00055042,,RY-OFFER-043,2024-01-20,Paid social,Contacted
RY-ENQ-00214196,RY-CONT-00134019,,RY-OFFER-062,2022-06-04,Paid social,New
RY-ENQ-00223908,RY-CONT-00125210,,RY-OFFER-081,2025-09-05,Google Ads,New
RY-ENQ-00225763,RY-CONT-00075389,,RY-OFFER-013,2023-12-27,Webinar,New
RY-ENQ-00232524,RY-CONT-00105074,,RY-OFFER-013,2023-12-02,Paid social,New
RY-ENQ-00234773,RY-CONT-00184372,,RY-OFFER-004,2022-10-04,Paid social,New
RY-ENQ-00238156,RY-CONT-00189440,,RY-OFFER-064,2025-01-17,Organic search,Qualified
RY-ENQ-00240028,RY-CONT-01115170,,RY-OFFER-052,2026-06-03,Paid social,Qualified
RY-ENQ-00241485,RY-CONT-00093091,,RY-OFFER-040,2024-04-01,Organic search,New
RY-ENQ-00244012,RY-CONT-00114394,,RY-OFFER-026,2025-06-16,Webinar,New
RY-ENQ-00244435,RY-CONT-00015110,,RY-OFFER-018,2025-01-20,Referral,New
RY-ENQ-00247675,RY-CONT-01134532,,RY-OFFER-047,2026-01-14,Google Ads,New
RY-ENQ-00248913,RY-CONT-00204179,,RY-OFFER-041,2023-02-01,Referral,Contacted
RY-ENQ-00254136,RY-CONT-00172955,,RY-OFFER-026,2024-01-03,Referral,Contacted
RY-ENQ-00254458,RY-CONT-01113449,,RY-OFFER-048,2022-07-28,Career expo,Contacted
RY-ENQ-00258059,RY-CONT-00162700,,RY-OFFER-051,2022-02-03,Google Ads,New
RY-ENQ-00260192,RY-CONT-01115827,,RY-OFFER-029,2025-09-01,Paid social,New
RY-ENQ-00290642,RY-CONT-00045206,,RY-OFFER-072,2022-06-17,Google Ads,Closed
RY-ENQ-00293768,RY-CONT-00080973,,RY-OFFER-026,2025-12-15,Organic search,Contacted
RY-ENQ-00297173,RY-CONT-00197048,,RY-OFFER-043,2022-02-14,Google Ads,Contacted
RY-ENQ-00302983,RY-CONT-00201360,,RY-OFFER-072,2024-07-16,Paid social,Contacted
RY-ENQ-00303931,RY-CONT-00199389,,RY-OFFER-020,2026-08-06,Print,Contacted
RY-ENQ-00306995,RY-CONT-00070091,,RY-OFFER-041,2022-09-09,Google Ads,New
RY-ENQ-00307096,RY-CONT-00137643,,RY-OFFER-082,2026-06-13,Paid social,Contacted
RY-ENQ-00307620,RY-CONT-00205609,,RY-OFFER-056,2023-07-28,Paid social,New
RY-ENQ-00309167,RY-CONT-00168311,,RY-OFFER-089,2025-03-14,Email,Contacted
RY-ENQ-00310600,RY-CONT-00054723,,RY-OFFER-027,2025-06-03,Open day,Contacted
RY-ENQ-00319188,RY-CONT-01125437,,RY-OFFER-052,2026-02-22,Google Ads,Contacted
RY-ENQ-00324617,RY-CONT-00154264,,RY-OFFER-089,2022-01-12,Paid social,Closed
RY-ENQ-00328798,RY-CONT-00009197,,RY-OFFER-089,2022-11-13,Google Ads,New
RY-ENQ-00329785,RY-CONT-00064746,,RY-OFFER-056,2026-08-03,Email,Qualified
RY-ENQ-00330291,RY-CONT-00056805,,RY-OFFER-071,2024-09-07,Paid social,Contacted
RY-ENQ-00331746,RY-CONT-00127601,,RY-OFFER-036,2024-01-05,Organic search,Closed
RY-ENQ-00339718,RY-CONT-00174171,,RY-OFFER-030,2026-07-08,Paid social,Contacted
RY-ENQ-00340842,RY-CONT-00041050,,RY-OFFER-082,2025-07-20,Google Ads,Contacted
RY-ENQ-00349847,RY-CONT-00133345,,RY-OFFER-071,2023-03-01,Paid social,Contacted
RY-ENQ-00353527,RY-CONT-00148554,,RY-OFFER-072,2026-01-01,Webinar,Closed
RY-ENQ-00353790,RY-CONT-00199615,,RY-OFFER-057,2023-01-24,Google Ads,Contacted
RY-ENQ-00355916,RY-CONT-00127481,,RY-OFFER-013,2023-11-25,Referral,Closed
RY-ENQ-00356634,RY-CONT-00117380,,RY-OFFER-017,2026-01-26,Email,Closed
RY-ENQ-00357809,RY-CONT-00075389,,RY-OFFER-053,2025-01-27,Open day,Closed
RY-ENQ-00361748,RY-CONT-00097983,,RY-OFFER-076,2024-10-13,Email,Closed
RY-ENQ-00362992,RY-CONT-00003285,,RY-OFFER-059,2024-11-18,Email,New
RY-ENQ-00364710,RY-CONT-01116390,,RY-OFFER-035,2024-10-05,Referral,New
RY-ENQ-00370918,RY-CONT-01124592,,RY-OFFER-041,2024-11-30,Open day,New
RY-ENQ-00377436,RY-CONT-01129459,,RY-OFFER-013,2024-11-23,Email,Qualified
RY-ENQ-00377938,RY-CONT-00151370,,RY-OFFER-074,2024-10-30,Paid social,New
RY-ENQ-00380580,RY-CONT-00038168,,RY-OFFER-004,2026-01-20,Paid social,Contacted
RY-ENQ-00381925,RY-CONT-00108365,,RY-OFFER-029,2023-12-20,Google Ads,Closed
RY-ENQ-00383065,RY-CONT-01119136,,RY-OFFER-025,2022-03-30,Organic search,Contacted
RY-ENQ-00384905,RY-CONT-01127140,,RY-OFFER-037,2023-06-10,Paid social,Qualified
RY-ENQ-00385582,RY-CONT-00136851,,RY-OFFER-087,2022-07-24,Organic search,New
RY-ENQ-00388752,RY-CONT-01114468,,RY-OFFER-078,2023-03-19,Google Ads,Contacted
RY-ENQ-00389577,RY-CONT-00049315,,RY-OFFER-070,2022-11-08,Referral,Contacted
RY-ENQ-00391600,RY-CONT-00144155,,RY-OFFER-030,2022-08-21,Organic search,Contacted
RY-ENQ-00395769,RY-CONT-00197451,,RY-OFFER-067,2025-09-07,Organic search,Closed
RY-ENQ-00397089,RY-CONT-00205609,,RY-OFFER-045,2026-02-24,Google Ads,Closed
RY-ENQ-00397876,RY-CONT-01115661,,RY-OFFER-020,2024-01-29,Paid social,Closed
RY-ENQ-00399349,RY-CONT-00101189,,RY-OFFER-079,2024-01-17,Paid social,New
RY-ENQ-00402798,RY-CONT-00050106,,RY-OFFER-079,2024-03-16,Google Ads,Contacted
RY-ENQ-00407172,RY-CONT-00201511,,RY-OFFER-007,2024-11-18,Paid social,New
RY-ENQ-00410712,RY-CONT-01131454,,RY-OFFER-011,2023-03-29,Email,New
RY-ENQ-00410885,RY-CONT-00119478,,RY-OFFER-006,2022-12-30,Google Ads,Closed
RY-ENQ-00413399,RY-CONT-00167071,,RY-OFFER-023,2024-12-04,Paid social,Contacted
RY-ENQ-00419063,RY-CONT-00080973,,RY-OFFER-040,2025-07-21,Paid social,Contacted
RY-ENQ-00419140,RY-CONT-00060281,,RY-OFFER-072,2023-08-10,Google Ads,Contacted
RY-ENQ-00420580,RY-CONT-00029564,,RY-OFFER-065,2026-08-02,Email,Closed
RY-ENQ-00420902,RY-CONT-00207051,,RY-OFFER-089,2022-03-05,Organic search,Qualified
RY-ENQ-00421771,RY-CONT-00080320,,RY-OFFER-037,2026-01-13,Email,New
RY-ENQ-00425555,RY-CONT-00156907,,RY-OFFER-034,2023-05-15,Career expo,Contacted
RY-ENQ-00427614,RY-CONT-01131298,,RY-OFFER-041,2026-01-05,Open day,Contacted
RY-ENQ-00429705,RY-CONT-00137643,,RY-OFFER-059,2022-06-07,Google Ads,New
RY-ENQ-00430221,RY-CONT-00080304,,RY-OFFER-078,2022-02-27,Organic search,New
RY-ENQ-00438435,RY-CONT-01113449,,RY-OFFER-015,2022-05-16,Career expo,Closed
RY-ENQ-00445783,RY-CONT-00205758,,RY-OFFER-041,2023-04-07,Career expo,Contacted
RY-ENQ-00452379,RY-CONT-00073017,,RY-OFFER-036,2024-02-24,Google Ads,New
RY-ENQ-00463580,RY-CONT-00167548,,RY-OFFER-075,2023-01-12,Paid social,New
RY-ENQ-00465706,RY-CONT-00085539,,RY-OFFER-060,2024-01-14,Webinar,Contacted
RY-ENQ-00467514,RY-CONT-01131928,,RY-OFFER-008,2023-08-11,Google Ads,New
RY-ENQ-00471928,RY-CONT-00186113,,RY-OFFER-061,2022-11-05,Radio,Qualified
RY-ENQ-00472196,RY-CONT-01114554,,RY-OFFER-077,2025-02-13,Paid social,Contacted
RY-ENQ-00477579,RY-CONT-00032517,,RY-OFFER-041,2025-01-01,Paid social,New
RY-ENQ-00484708,RY-CONT-00076454,,RY-OFFER-036,2025-09-09,Google Ads,Qualified
RY-ENQ-00508118,RY-CONT-01122772,,RY-OFFER-062,2024-03-31,Email,Closed
RY-ENQ-00510237,RY-CONT-01123860,,RY-OFFER-039,2024-03-14,Google Ads,Contacted
RY-ENQ-00510793,RY-CONT-01121137,,RY-OFFER-030,2026-08-24,Google Ads,Closed
RY-ENQ-00513263,RY-CONT-01114468,,RY-OFFER-036,2024-10-05,Google Ads,Contacted
RY-ENQ-00514178,RY-CONT-00002411,,RY-OFFER-082,2023-05-20,Google Ads,Qualified
RY-ENQ-00515390,RY-CONT-00115418,,RY-OFFER-065,2025-06-23,Paid social,Closed
RY-ENQ-00521075,RY-CONT-01136093,,RY-OFFER-019,2022-12-06,Google Ads,Contacted
RY-ENQ-00522260,RY-CONT-00168311,,RY-OFFER-067,2024-10-31,Open day,Closed
RY-ENQ-00523144,RY-CONT-00067037,,RY-OFFER-074,2024-02-07,Paid social,Qualified
RY-ENQ-00523586,RY-CONT-00105342,,RY-OFFER-011,2026-06-29,Email,New
RY-ENQ-00526147,RY-CONT-00138762,,RY-OFFER-034,2026-07-02,Paid social,New
RY-ENQ-00527308,RY-CONT-00119478,,RY-OFFER-018,2023-01-03,Paid social,Contacted
RY-ENQ-00527519,RY-CONT-01126442,,RY-OFFER-057,2023-07-25,Webinar,Contacted
RY-ENQ-00536086,RY-CONT-00056805,,RY-OFFER-057,2025-09-26,Email,Qualified
RY-ENQ-00536488,RY-CONT-00080320,,RY-OFFER-019,2025-10-16,Email,New
RY-ENQ-00540978,RY-CONT-00060281,,RY-OFFER-075,2026-06-16,Webinar,New
RY-ENQ-00542933,RY-CONT-01111296,,RY-OFFER-032,2025-02-14,Referral,Contacted
RY-ENQ-00543511,RY-CONT-01134425,,RY-OFFER-086,2022-09-13,Career expo,New
RY-ENQ-00545216,RY-CONT-01118800,,RY-OFFER-005,2023-06-05,Print,Qualified
RY-ENQ-00545469,RY-CONT-00133642,,RY-OFFER-059,2026-05-28,Open day,New
