RY_External_ID__c,Campaign_Key,Contact_Key,Lead_Key
RYSCALE-CM-000000077,RYSCALE-CAM-000000539,RYSCALE-CON-000000077,
RYSCALE-CM-000000078,RYSCALE-CAM-000000546,RYSCALE-CON-000000078,
RYSCALE-CM-000000079,RYSCALE-CAM-000000553,RYSCALE-CON-000000079,
RYSCALE-CM-000000080,RYSCALE-CAM-000000560,RYSCALE-CON-000000080,
RYSCALE-CM-000000081,RYSCALE-CAM-000000567,RYSCALE-CON-000000081,
RYSCALE-CM-000000082,RYSCALE-CAM-000000574,RYSCALE-CON-000000082,
RYSCALE-CM-000000083,RYSCALE-CAM-000000581,RYSCALE-CON-000000083,
RYSCALE-CM-000000084,RYSCALE-CAM-000000588,RYSCALE-CON-000000084,
RYSCALE-CM-000000085,RYSCALE-CAM-000000595,RYSCALE-CON-000000085,
RYSCALE-CM-000000086,RYSCALE-CAM-000000602,RYSCALE-CON-000000086,
RYSCALE-CM-000000087,RYSCALE-CAM-000000609,RYSCALE-CON-000000087,
RYSCALE-CM-000000088,RYSCALE-CAM-000000616,RYSCALE-CON-000000088,
RYSCALE-CM-000000089,RYSCALE-CAM-000000623,RYSCALE-CON-000000089,
RYSCALE-CM-000000090,RYSCALE-CAM-000000630,RYSCALE-CON-000000090,
RYSCALE-CM-000000091,RYSCALE-CAM-000000637,RYSCALE-CON-000000091,
RYSCALE-CM-000000092,RYSCALE-CAM-000000644,RYSCALE-CON-000000092,
RYSCALE-CM-000000093,RYSCALE-CAM-000000651,RYSCALE-CON-000000093,
RYSCALE-CM-000000094,RYSCALE-CAM-000000658,RYSCALE-CON-000000094,
RYSCALE-CM-000000095,RYSCALE-CAM-000000665,RYSCALE-CON-000000095,
RYSCALE-CM-000000096,RYSCALE-CAM-000000672,RYSCALE-CON-000000096,
RYSCALE-CM-000000097,RYSCALE-CAM-000000679,RYSCALE-CON-000000097,
RYSCALE-CM-000000098,RYSCALE-CAM-000000686,RYSCALE-CON-000000098,
RYSCALE-CM-000000099,RYSCALE-CAM-000000693,RYSCALE-CON-000000099,
RYSCALE-CM-000000100,RYSCALE-CAM-000000700,RYSCALE-CON-000000100,
