RY_External_ID__c,Contact_Key,Student_Number__c
RYSCALE-STU-000000089,RYSCALE-CON-000000089,DEMO-S000000089
RYSCALE-STU-000000090,RYSCALE-CON-000000090,DEMO-S000000090
RYSCALE-STU-000000091,RYSCALE-CON-000000091,DEMO-S000000091
RYSCALE-STU-000000092,RYSCALE-CON-000000092, demo-s000000092 
RYSCALE-STU-000000093,RYSCALE-CON-000000093,DEMO-S000000093
RYSCALE-STU-000000094,RYSCALE-CON-000000094,DEMO-S000000094
RYSCALE-STU-000000095,RYSCALE-CON-000000095,DEMO-S000000095
RYSCALE-STU-000000096,RYSCALE-CON-000000096,DEMO-S000000096
RYSCALE-STU-000000097,RYSCALE-CON-000000097,DEMO-S000000097
RYSCALE-STU-000000098,RYSCALE-CON-000000098,DEMO-S000000098
RYSCALE-STU-000000099,RYSCALE-CON-000000099,DEMO-S000000099
RYSCALE-STU-000000100,RYSCALE-CON-000000100,DEMO-S000000100
