RY_External_ID__c,Student_Key,Application_Key,Enrolled_Date__c,Status__c,Agreed_Fee_ZAR__c
RYSCALE-ENR-000000046,RYSCALE-STU-000000046,RYSCALE-APP-000000046,2019-02-08,Registered,11900
RYSCALE-ENR-000000047,RYSCALE-STU-000000047,RYSCALE-APP-000000047,2019-02-08,Registered,12900
RYSCALE-ENR-000000048,RYSCALE-STU-000000048,RYSCALE-APP-000000048,2019-02-08,Registered,13900
RYSCALE-ENR-000000049,RYSCALE-STU-000000049,RYSCALE-APP-000000049,2019-07-08,Registered,14900
RYSCALE-ENR-000000050,RYSCALE-STU-000000050,RYSCALE-APP-000000050,2019-07-08,Registered,15900
RYSCALE-ENR-000000051,RYSCALE-STU-000000051,RYSCALE-APP-000000051,2019-07-08,REGISTRED ,16900
RYSCALE-ENR-000000052,RYSCALE-STU-000000052,RYSCALE-APP-000000052,2019-07-08,Registered,4900
RYSCALE-ENR-000000053,RYSCALE-STU-000000053,RYSCALE-APP-000000053,2019-07-08,Registered,5900
RYSCALE-ENR-000000054,RYSCALE-STU-000000054,RYSCALE-APP-000000054,2020-02-08,Registered,6900
RYSCALE-ENR-000000055,RYSCALE-STU-000000055,RYSCALE-APP-000000055,2020-02-08,Registered,7900
RYSCALE-ENR-000000056,RYSCALE-STU-000000056,RYSCALE-APP-000000056,2020-02-08,Registered,8900
RYSCALE-ENR-000000057,RYSCALE-STU-000000057,RYSCALE-APP-000000057,2020-02-08,Registered,9900
RYSCALE-ENR-000000058,RYSCALE-STU-000000058,RYSCALE-APP-000000058,2020-02-08,Registered,10900
RYSCALE-ENR-000000059,RYSCALE-STU-000000059,RYSCALE-APP-000000059,2020-07-08,Registered,11900
RYSCALE-ENR-000000060,RYSCALE-STU-000000060,RYSCALE-APP-000000060,2020-07-08,Registered,12900
RYSCALE-ENR-000000061,RYSCALE-STU-000000061,RYSCALE-APP-000000061,2020-07-08,Registered,13900
RYSCALE-ENR-000000062,RYSCALE-STU-000000062,RYSCALE-APP-000000062,2020-07-08,Registered,14900
RYSCALE-ENR-000000063,RYSCALE-STU-000000063,RYSCALE-APP-000000063,2020-07-08,Registered,15900
RYSCALE-ENR-000000064,RYSCALE-STU-000000064,RYSCALE-APP-000000064,2020-07-08,Registered,16900
RYSCALE-ENR-000000065,RYSCALE-STU-000000065,RYSCALE-APP-000000065,2021-02-08,Registered,4900
RYSCALE-ENR-000000066,RYSCALE-STU-000000066,RYSCALE-APP-000000066,2021-02-08,Registered,5900
RYSCALE-ENR-000000067,RYSCALE-STU-000000067,RYSCALE-APP-000000067,2021-02-08,Registered,6900
RYSCALE-ENR-000000068,RYSCALE-STU-000000068,RYSCALE-APP-000000068,2021-02-08,REGISTRED ,7900
RYSCALE-ENR-000000069,RYSCALE-STU-000000069,RYSCALE-APP-000000069,2021-02-08,Registered,8900
RYSCALE-ENR-000000070,RYSCALE-STU-000000070,RYSCALE-APP-000000070,2021-07-08,Registered,9900
RYSCALE-ENR-000000071,RYSCALE-STU-000000071,RYSCALE-APP-000000071,2021-07-08,Registered,10900
RYSCALE-ENR-000000072,RYSCALE-STU-000000072,RYSCALE-APP-000000072,2021-07-08,Registered,11900
RYSCALE-ENR-000000073,RYSCALE-STU-000000073,RYSCALE-APP-000000073,2021-07-08,Registered,12900
RYSCALE-ENR-000000074,RYSCALE-STU-000000074,RYSCALE-APP-000000074,2021-07-08,Registered,139000
RYSCALE-ENR-000000075,RYSCALE-STU-000000075,RYSCALE-APP-000000075,2022-02-08,Registered,14900
RYSCALE-ENR-000000076,RYSCALE-STU-000000076,RYSCALE-APP-000000076,2022-02-08,Registered,15900
RYSCALE-ENR-000000077,RYSCALE-STU-000000077,RYSCALE-APP-000000077,2022-02-08,Registered,16900
RYSCALE-ENR-000000078,RYSCALE-STU-000000078,RYSCALE-APP-000000078,2022-02-08,Registered,4900
RYSCALE-ENR-000000079,RYSCALE-STU-000000079,RYSCALE-APP-000000079,2022-02-08,Registered,5900
RYSCALE-ENR-000000080,RYSCALE-STU-000000080,RYSCALE-APP-000000080,2022-02-08,Registered,6900
RYSCALE-ENR-000000081,RYSCALE-STU-000000081,RYSCALE-APP-000000081,2022-07-08,Registered,7900
RYSCALE-ENR-000000082,RYSCALE-STU-000000082,RYSCALE-APP-000000082,2022-07-08,Registered,8900
RYSCALE-ENR-000000083,RYSCALE-STU-000000083,RYSCALE-APP-000000083,2022-07-08,Registered,9900
RYSCALE-ENR-000000084,RYSCALE-STU-000000084,RYSCALE-APP-000000084,2022-07-08,Registered,10900
RYSCALE-ENR-000000085,RYSCALE-STU-000000085,RYSCALE-APP-000000085,2022-07-08,REGISTRED ,11900
RYSCALE-ENR-000000086,RYSCALE-STU-000000086,RYSCALE-APP-000000086,2023-02-08,Registered,12900
RYSCALE-ENR-000000087,RYSCALE-STU-000000087,RYSCALE-APP-000000087,2023-02-08,Registered,13900
RYSCALE-ENR-000000088,RYSCALE-STU-000000088,RYSCALE-APP-000000088,2023-02-08,Registered,14900
RYSCALE-ENR-000000089,RYSCALE-STU-000000089,RYSCALE-APP-000000089,2023-02-08,Registered,15900
RYSCALE-ENR-000000090,RYSCALE-STU-000000090,RYSCALE-APP-000000090,2023-02-08,Registered,16900
RYSCALE-ENR-000000091,RYSCALE-STU-000000091,RYSCALE-APP-000000091,2023-02-08,Registered,4900
RYSCALE-ENR-000000092,RYSCALE-STU-000000092,RYSCALE-APP-000000092,2023-07-08,Registered,5900
RYSCALE-ENR-000000093,RYSCALE-STU-000000093,RYSCALE-APP-000000093,2023-07-08,Registered,6900
RYSCALE-ENR-000000094,RYSCALE-STU-000000094,RYSCALE-APP-000000094,2023-07-08,Registered,7900
RYSCALE-ENR-000000095,RYSCALE-STU-000000095,RYSCALE-APP-000000095,2023-07-08,Registered,8900
RYSCALE-ENR-000000096,RYSCALE-STU-000000096,RYSCALE-APP-000000096,2023-07-08,Registered,9900
RYSCALE-ENR-000000097,RYSCALE-STU-000000097,RYSCALE-APP-000000097,2024-02-08,Registered,10900
RYSCALE-ENR-000000098,RYSCALE-STU-000000098,RYSCALE-APP-000000098,2024-02-08,Registered,11900
RYSCALE-ENR-000000099,RYSCALE-STU-000000099,RYSCALE-APP-000000099,2024-02-08,Registered,12900
RYSCALE-ENR-000000100,RYSCALE-STU-000000100,RYSCALE-APP-000000100,2024-02-08,Registered,13900
