RY_External_ID__c,Contact_Key,Lead_Key,Offering_Key,Enquiry_Date__c,Channel__c,Status__c
RYSCALE-ENQ-000000074,,RYSCALE-LEAD-000000518,RY-DIRTY-OFFER-074,2015-03-16,Email,New
RYSCALE-ENQ-000000075,RYSCALE-CON-000000825,,RY-DIRTY-OFFER-075,2015-03-17,WhatsApp,Application received
RYSCALE-ENQ-000000076,RYSCALE-CON-000000836,,RY-DIRTY-OFFER-076,2015-03-18,Website,new 
RYSCALE-ENQ-000000077,RYSCALE-CON-000000847,,RY-DIRTY-OFFER-077,2015-03-19,Paid social,New
RYSCALE-ENQ-000000078,,RYSCALE-LEAD-000000546,RY-DIRTY-OFFER-078,2015-03-20,Email,Application received
RYSCALE-ENQ-000000079,,RYSCALE-LEAD-000000553,RY-DIRTY-OFFER-079,2015-03-21,WhatsApp,New
RYSCALE-ENQ-000000080,RYSCALE-CON-000000880,,RY-DIRTY-OFFER-080,2015-03-22,Website,New
RYSCALE-ENQ-000000081,RYSCALE-CON-000000891,,RY-DIRTY-OFFER-081,2015-03-23,Paid social,Application received
RYSCALE-ENQ-000000082,RYSCALE-CON-000000902,,RY-DIRTY-OFFER-082,2015-03-24,Email,New
RYSCALE-ENQ-000000083,,RYSCALE-LEAD-000000581,RY-DIRTY-OFFER-083,2015-03-25,WhatsApp,New
RYSCALE-ENQ-000000084,,RYSCALE-LEAD-000000588,RY-DIRTY-OFFER-084,2015-03-26,Website,Application received
RYSCALE-ENQ-000000085,RYSCALE-CON-000000935,,RY-DIRTY-OFFER-085,2015-03-27,web form ,New
RYSCALE-ENQ-000000086,RYSCALE-CON-000000946,,RY-DIRTY-OFFER-086,2015-03-28,Email,New
RYSCALE-ENQ-000000087,RYSCALE-CON-000000957,,RY-DIRTY-OFFER-087,2015-03-29,WhatsApp,Application received
RYSCALE-ENQ-000000088,,RYSCALE-LEAD-000000616,RY-DIRTY-OFFER-088,2015-03-30,Website,New
RYSCALE-ENQ-000000089,,RYSCALE-LEAD-000000623,RY-DIRTY-OFFER-089,2015-03-31,Paid social,New
RYSCALE-ENQ-000000090,RYSCALE-CON-000000990,,RY-DIRTY-OFFER-001-DUP01,2015-04-01,Email,Application received
RYSCALE-ENQ-000000091,RYSCALE-CON-000001001,,RY-DIRTY-OFFER-021-DUP02,2015-04-02,WhatsApp,New
RYSCALE-ENQ-000000092,RYSCALE-CON-000001012,,RY-DIRTY-OFFER-001,2015-04-03,Website,New
RYSCALE-ENQ-000000093,,RYSCALE-LEAD-000000651,RY-DIRTY-OFFER-002,2015-04-04,Paid social,Application received
RYSCALE-ENQ-000000094,,RYSCALE-LEAD-000000658,RY-DIRTY-OFFER-003,2015-04-05,Email,New
RYSCALE-ENQ-000000095,RYSCALE-CON-000001045,,RY-DIRTY-OFFER-004,2015-04-06,WhatsApp,new 
RYSCALE-ENQ-000000096,RYSCALE-CON-000001056,,RY-DIRTY-OFFER-005,2015-04-07,Website,Application received
RYSCALE-ENQ-000000097,RYSCALE-CON-000001067,,RY-DIRTY-OFFER-006,2015-04-08,Paid social,New
RYSCALE-ENQ-000000098,,RYSCALE-LEAD-000000686,RY-DIRTY-OFFER-007,2015-04-09,Email,New
RYSCALE-ENQ-000000099,,RYSCALE-LEAD-000000693,RY-DIRTY-OFFER-008,2015-04-10,WhatsApp,Application received
RYSCALE-ENQ-000000100,RYSCALE-CON-000001100,,RY-DIRTY-OFFER-009,2015-04-11,Website,New
