RY_External_ID__c,Enrolment_Key,Week_Start__c,Attendance_Pct__c,Assessment_Average_Pct__c,Overdue_Assignments__c,Risk_Band__c
RYSCALE-PRG-000000078,RYSCALE-ENR-000000008,2015-08-31,98,30,3,High
RYSCALE-PRG-000000079,RYSCALE-ENR-000000008,2015-09-07,44,41,4,High
RYSCALE-PRG-000000080,RYSCALE-ENR-000000008,2015-09-14,51,52,0,High
RYSCALE-PRG-000000081,RYSCALE-ENR-000000009,2015-07-13,58,63,1,High
RYSCALE-PRG-000000082,RYSCALE-ENR-000000009,2015-07-20,65,74,2,Low
RYSCALE-PRG-000000083,RYSCALE-ENR-000000009,2015-07-27,72,85,3,Low
RYSCALE-PRG-000000084,RYSCALE-ENR-000000009,2015-08-03,79,30,4,High
RYSCALE-PRG-000000085,RYSCALE-ENR-000000009,2015-08-10,86,41,0,High
RYSCALE-PRG-000000086,RYSCALE-ENR-000000009,2015-08-17,93,52,1,Low
RYSCALE-PRG-000000087,RYSCALE-ENR-000000009,2015-08-24,100,63,2,High
RYSCALE-PRG-000000088,RYSCALE-ENR-000000009,2015-08-31,46,74,3,High
RYSCALE-PRG-000000089,RYSCALE-ENR-000000009,2015-09-07,53,85,4,High
RYSCALE-PRG-000000090,RYSCALE-ENR-000000009,2015-09-14,60,30,0,High
RYSCALE-PRG-000000091,RYSCALE-ENR-000000010,2015-07-13,67,41,1,High
RYSCALE-PRG-000000092,RYSCALE-ENR-000000010,2015-07-20,74,52,2,Low
RYSCALE-PRG-000000093,RYSCALE-ENR-000000010,2015-07-27,81,0,3,Low
RYSCALE-PRG-000000094,RYSCALE-ENR-000000010,2015-08-03,88,74,4,Low
RYSCALE-PRG-000000095,RYSCALE-ENR-000000010,2015-08-10,95,85,0,Low
RYSCALE-PRG-000000096,RYSCALE-ENR-000000010,2015-08-17,41,30,1,High
RYSCALE-PRG-000000097,RYSCALE-ENR-000000010,2015-08-24,48,41,2,High
RYSCALE-PRG-000000098,RYSCALE-ENR-000000010,2015-08-31,55,52,3,High
RYSCALE-PRG-000000099,RYSCALE-ENR-000000010,2015-09-07,62,63,4,Low
RYSCALE-PRG-000000100,RYSCALE-ENR-000000010,2015-09-14,69,74,0,Low
