RY_External_ID__c,Name,IsActive,StartDate,RY_Channel__c,RY_Spend_ZAR__c
RYSCALE-CAM-000000052,DEMO Recruitment 00052,false,2019-05-01,paid_social ,12124
RYSCALE-CAM-000000053,DEMO Recruitment 00053,false,2020-06-01,Email,12261
RYSCALE-CAM-000000054,DEMO Recruitment 00054,false,2021-07-01,Organic search,12398
RYSCALE-CAM-000000055,DEMO Recruitment 00055,false,2022-08-01,Webinar,12535
RYSCALE-CAM-000000056,DEMO Recruitment 00056,false,2023-09-01,Paid social,12672
RYSCALE-CAM-000000057,DEMO Recruitment 00057,false,2024-10-01,Email,12809
RYSCALE-CAM-000000058,DEMO Recruitment 00058,false,2025-11-01,Organic search,12946
RYSCALE-CAM-000000059,DEMO Recruitment 00059,false,2026-12-01,Webinar,13083
RYSCALE-CAM-000000060,DEMO Recruitment 00060,false,2015-01-01,Paid social,13220
RYSCALE-CAM-000000061,DEMO Recruitment 00061,false,2016-02-01,Email,13357
RYSCALE-CAM-000000062,DEMO Recruitment 00062,false,2017-03-01,Organic search,13494
RYSCALE-CAM-000000063,DEMO Recruitment 00063,false,2018-04-01,Webinar,13631
RYSCALE-CAM-000000064,DEMO Recruitment 00064,false,2019-05-01,Paid social,13768
RYSCALE-CAM-000000065,DEMO Recruitment 00065,false,2020-06-01,email ,13905
RYSCALE-CAM-000000066,DEMO Recruitment 00066,false,2021-07-01,Organic search,14042
RYSCALE-CAM-000000067,DEMO Recruitment 00067,false,2022-08-01,Webinar,14179
RYSCALE-CAM-000000068,DEMO Recruitment 00068,false,2023-09-01,Paid social,14316
RYSCALE-CAM-000000069,DEMO Recruitment 00069,false,2024-10-01,Email,14453
RYSCALE-CAM-000000070,DEMO Recruitment 00070,false,2025-11-01,Organic search,14590
RYSCALE-CAM-000000071,DEMO Recruitment 00071,false,2026-12-01,Webinar,14727
RYSCALE-CAM-000000072,DEMO Recruitment 00072,false,2015-01-01,Paid social,14864
RYSCALE-CAM-000000073,DEMO Recruitment 00073,false,2016-02-01,Email,15001
RYSCALE-CAM-000000074,DEMO Recruitment 00074,false,2017-03-01,Organic search,15138
RYSCALE-CAM-000000075,DEMO Recruitment 00075,false,2018-04-01,Webinar,15275
RYSCALE-CAM-000000076,DEMO Recruitment 00076,false,2019-05-01,Paid social,15412
RYSCALE-CAM-000000077,DEMO Recruitment 00077,false,2020-06-01,Email,15549
RYSCALE-CAM-000000078,DEMO Recruitment 00078,false,2021-07-01,organic_search ,15686
RYSCALE-CAM-000000079,DEMO Recruitment 00079,false,2022-08-01,Webinar,15823
RYSCALE-CAM-000000080,DEMO Recruitment 00080,false,2023-09-01,Paid social,15960
RYSCALE-CAM-000000081,DEMO Recruitment 00081,false,2024-10-01,Email,16097
RYSCALE-CAM-000000082,DEMO Recruitment 00082,false,2025-11-01,Organic search,16234
RYSCALE-CAM-000000083,DEMO Recruitment 00083,false,2026-12-01,Webinar,16371
RYSCALE-CAM-000000084,DEMO Recruitment 00084,false,2015-01-01,Paid social,16508
RYSCALE-CAM-000000085,DEMO Recruitment 00085,false,2016-02-01,Email,16645
RYSCALE-CAM-000000086,DEMO Recruitment 00086,false,2017-03-01,Organic search,16782
RYSCALE-CAM-000000087,DEMO Recruitment 00087,false,2018-04-01,Webinar,16919
RYSCALE-CAM-000000088,DEMO Recruitment 00088,false,2019-05-01,Paid social,17056
RYSCALE-CAM-000000089,DEMO Recruitment 00089,false,2020-06-01,Email,17193
RYSCALE-CAM-000000090,DEMO Recruitment 00090,false,2021-07-01,Organic search,17330
RYSCALE-CAM-000000091,DEMO Recruitment 00091,false,2022-08-01,webinar ,17467
RYSCALE-CAM-000000092,DEMO Recruitment 00092,false,2023-09-01,Paid social,17604
RYSCALE-CAM-000000093,DEMO Recruitment 00093,false,2024-10-01,Email,17741
RYSCALE-CAM-000000094,DEMO Recruitment 00094,false,2025-11-01,Organic search,17878
RYSCALE-CAM-000000095,DEMO Recruitment 00095,false,2026-12-01,Webinar,18015
RYSCALE-CAM-000000096,DEMO Recruitment 00096,false,2015-01-01,Paid social,18152
RYSCALE-CAM-000000097,DEMO Recruitment 00097,false,2016-02-01,Email,18289
RYSCALE-CAM-000000098,DEMO Recruitment 00098,false,2017-03-01,Organic search,18426
RYSCALE-CAM-000000099,DEMO Recruitment 00099,false,2018-04-01,Webinar,18563
RYSCALE-CAM-000000100,demo recruitment 00099 ,false,2019-05-01,Paid social,18700
