Id,Salesforce_Link,Name,StageName,CloseDate,AccountId,RY_External_ID__c,RY_Sample_Stage__c,RY_Expected_Value_ZAR__c,CreatedDate
006jX00000062SAQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062SAQAY/view,Postgraduate Diploma in Management - Qualification,Qualify,2026-12-27,,RY-OPP-00031514,Qualification,,2026-09-09T12:54:13.000+0000
006jX00000066FgQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066FgQAI/view,Business Analysis - Qualification,Qualify,2023-01-31,,RY-OPP-00035523,Qualification,13988.28,2026-09-09T12:56:30.000+0000
006jX00000066acQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066acQAA/view,User Experience Design - Closed Lost,Qualify,2024-09-02,,RY-OPP-00036399,Closed Lost,,2026-09-09T12:55:22.000+0000
006jX00000066HIQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066HIQAY/view,Sustainable Marketing - Application Sent,Qualify,2025-12-12,,RY-OPP-00040320,Application Sent,,2026-09-09T12:56:42.000+0000
006jX00000061mEQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061mEQAQ/view,Part-Time Higher Certificate in Marketing and Branding - Application Received,Qualify,2025-03-09,,RY-OPP-00044446,Application Received,,2026-09-09T12:57:05.000+0000
006jX00000066PKQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066PKQAY/view,Brand as Capital - Enquiry,Qualify,2023-04-02,,RY-OPP-00049620,Enquiry,21541.36,2026-09-09T12:58:41.000+0000
006jX00000067BiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000067BiQAI/view,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Closed Won",Qualify,2022-09-18,,RY-OPP-00050175,Closed Won,,2026-09-09T12:59:47.000+0000
006jX00000061mFQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061mFQAQ/view,Media Planning - Closed Won,Qualify,2025-03-17,,RY-OPP-00051034,Closed Won,12858.64,2026-09-09T12:57:38.000+0000
006jX00000060tPQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000060tPQAQ/view,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Qualification",Qualify,2023-08-27,,RY-OPP-00054117,Qualification,,2026-09-09T12:59:11.000+0000
006jX00000061pXQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061pXQAQ/view,Postgraduate Diploma in Digital Marketing - Closed Lost,Qualify,2024-01-15,,RY-OPP-00055882,Closed Lost,,2026-09-09T12:53:39.000+0000
006jX00000064vOQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064vOQAQ/view,Digital Marketing Professional - Application Received,Qualify,2024-10-31,,RY-OPP-00056852,Application Received,,2026-09-09T12:53:27.000+0000
006jX00000063jDQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063jDQAQ/view,Part-Time Postgraduate Diploma in Digital Marketing - Closed Won,Qualify,2022-06-18,,RY-OPP-00059343,Closed Won,,2026-09-09T12:53:56.000+0000
006jX00000066HHQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066HHQAY/view,Sustainable Marketing - Closed Lost,Qualify,2023-05-01,,RY-OPP-00061699,Closed Lost,,2026-09-09T12:56:32.000+0000
006jX0000006137QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX0000006137QAA/view,Sales & Account Management - Offer Made,Qualify,2024-05-11,,RY-OPP-00063392,Offer Made,4071.86,2026-09-09T12:55:39.000+0000
006jX00000061KrQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061KrQAI/view,Business Analysis - Closed Won,Qualify,2022-11-17,,RY-OPP-00063777,Closed Won,13215.49,2026-09-09T12:58:43.000+0000
006jX000000678TQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000678TQAQ/view,Social Media Marketing - Closed Lost,Qualify,2026-01-31,,RY-OPP-00067485,Closed Lost,,2026-09-09T12:59:35.000+0000
006jX00000066HJQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066HJQAY/view,Copywriting - Closed Won,Qualify,2026-09-28,,RY-OPP-00067773,Closed Won,10328.05,2026-09-09T12:56:45.000+0000
006jX0000006136QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX0000006136QAA/view,Strategic Foresight for Leaders - Qualification,Qualify,2025-10-13,,RY-OPP-00070074,Qualification,20417.27,2026-09-09T12:54:58.000+0000
006jX00000066qkQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066qkQAA/view,Desktop Publishing with InDesign - Closed Won,Qualify,2023-05-30,,RY-OPP-00073809,Closed Won,,2026-09-09T12:57:04.000+0000
006jX00000066SYQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066SYQAY/view,Mentorship - Application Received,Qualify,2024-08-22,,RY-OPP-00083949,Application Received,4713.28,2026-09-09T12:53:35.000+0000
006jX000000620sQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000620sQAA/view,Data Analysis for Marketers - Qualification,Qualify,2024-06-25,,RY-OPP-00090927,Qualification,12082.86,2026-09-09T12:56:21.000+0000
006jX00000062TnQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062TnQAI/view,Rebel Leadership - Closed Lost,Qualify,2024-08-27,,RY-OPP-00092753,Closed Lost,20948.82,2026-09-09T12:53:21.000+0000
006jX00000065l0QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065l0QAA/view,Rebel Leadership - Closed Lost,Qualify,2023-09-16,,RY-OPP-00094621,Closed Lost,25377.56,2026-09-09T12:54:16.000+0000
006jX00000060jkQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000060jkQAA/view,Higher Certificate in Business Management - Enquiry,Qualify,2022-11-03,,RY-OPP-00095787,Enquiry,,2026-09-09T12:52:46.000+0000
006jX00000063HqQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063HqQAI/view,Brand as Capital - Closed Lost,Qualify,2025-07-18,,RY-OPP-00097090,Closed Lost,19524.78,2026-09-09T12:56:25.000+0000
006jX00000065RiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065RiQAI/view,Shopper Marketing - Closed Won,Qualify,2025-02-21,,RY-OPP-00099299,Closed Won,15792.3,2026-09-09T12:53:14.000+0000
006jX00000064VdQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064VdQAI/view,Part-Time Postgraduate Diploma in Digital Marketing - Enquiry,Qualify,2024-12-13,,RY-OPP-00105717,Enquiry,,2026-09-09T12:56:57.000+0000
006jX00000061shQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061shQAA/view,Copywriting - Qualification,Qualify,2025-01-10,,RY-OPP-00107818,Qualification,10785.82,2026-09-09T12:52:48.000+0000
006jX00000065JcQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065JcQAI/view,Graphic Design Beginner - Closed Won,Qualify,2022-12-01,,RY-OPP-00109562,Closed Won,15037.43,2026-09-09T12:58:03.000+0000
006jX00000066p8QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066p8QAA/view,Digital Content & Copywriting - Qualification,Qualify,2024-05-13,,RY-OPP-00111068,Qualification,11853.75,2026-09-09T12:56:47.000+0000
006jX000000675FQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000675FQAQ/view,Rebel Leadership - Qualification,Qualify,2026-11-24,,RY-OPP-00117602,Qualification,20115.54,2026-09-09T12:59:17.000+0000
006jX00000066cEQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066cEQAQ/view,Storytelling for Impact & Influence - Application Received,Qualify,2025-04-23,,RY-OPP-00124099,Application Received,6045.02,2026-09-09T12:57:43.000+0000
006jX00000061PfQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061PfQAI/view,Higher Certificate in Marketing and Branding - Application Sent,Qualify,2022-10-07,,RY-OPP-00127501,Application Sent,,2026-09-09T12:56:22.000+0000
006jX00000061XiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061XiQAI/view,Part-Time Higher Certificate in Graphic Design - Application Received,Qualify,2026-01-24,,RY-OPP-00127651,Application Received,,2026-09-09T12:53:41.000+0000
006jX00000064vPQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064vPQAQ/view,Design Thinking - Qualification,Qualify,2025-05-16,,RY-OPP-00129303,Qualification,13253.53,2026-09-09T12:53:48.000+0000
006jX000000644BQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000644BQAQ/view,Graphic Design Intermediate with Adobe Photoshop - Closed Lost,Qualify,2024-07-04,,RY-OPP-00133023,Closed Lost,13071.66,2026-09-09T12:54:34.000+0000
006jX00000061PjQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061PjQAI/view,Social Media Marketing - Enquiry,Qualify,2026-05-07,,RY-OPP-00133216,Enquiry,,2026-09-09T12:58:34.000+0000
006jX00000066qlQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066qlQAA/view,User Experience Design - Qualification,Qualify,2023-01-28,,RY-OPP-00133591,Qualification,,2026-09-09T12:57:40.000+0000
006jX00000065JbQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065JbQAI/view,Copywriting - Qualification,Qualify,2022-09-06,,RY-OPP-00139410,Qualification,9820.14,2026-09-09T12:57:56.000+0000
006jX00000062nEQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062nEQAQ/view,Copywriting - Offer Made,Qualify,2022-07-27,,RY-OPP-00140708,Offer Made,11752.58,2026-09-09T12:59:58.000+0000
006jX00000065D9QAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065D9QAI/view,Higher Certificate in Business Management - Qualification,Qualify,2024-03-30,,RY-OPP-00149595,Qualification,,2026-09-09T12:53:05.000+0000
006jX00000063uWQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063uWQAQ/view,Postgraduate Diploma in Digital Marketing - Closed Won,Qualify,2025-01-25,,RY-OPP-00149622,Closed Won,,2026-09-09T12:54:41.000+0000
006jX00000065pqQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065pqQAA/view,Interior Decorating - Offer Made,Qualify,2026-03-03,,RY-OPP-00151598,Offer Made,14460.44,2026-09-09T12:55:23.000+0000
006jX00000066h3QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066h3QAA/view,Graphic Design Beginner - Qualification,Qualify,2024-02-16,,RY-OPP-00151754,Qualification,13740.23,2026-09-09T12:54:54.000+0000
006jX00000063stQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063stQAA/view,Graphic Design Intermediate with Adobe Photoshop - Application Received,Qualify,2023-10-24,,RY-OPP-00154580,Application Received,12816.35,2026-09-09T12:56:19.000+0000
006jX00000064VbQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064VbQAI/view,Higher Certificate in Marketing and Branding - Closed Won,Qualify,2026-10-26,,RY-OPP-00155225,Closed Won,,2026-09-09T12:56:27.000+0000
006jX00000063kqQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063kqQAA/view,Marketing Strategy - Closed Lost,Qualify,2024-04-07,,RY-OPP-00167668,Closed Lost,8846.68,2026-09-09T12:58:06.000+0000
006jX000000620qQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000620qQAA/view,Interior Decorating - Application Sent,Qualify,2022-09-08,,RY-OPP-00170481,Application Sent,13469.92,2026-09-09T12:55:53.000+0000
006jX00000064FWQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064FWQAY/view,Postgraduate Diploma in Management - Offer Made,Qualify,2025-08-05,,RY-OPP-00171533,Offer Made,,2026-09-09T12:56:06.000+0000
006jX00000061axQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061axQAA/view,Operational Finance - Application Sent,Qualify,2025-07-16,,RY-OPP-00171865,Application Sent,12924.73,2026-09-09T12:53:46.000+0000
006jX00000066kHQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066kHQAQ/view,Media Planning - Closed Won,Qualify,2027-01-04,,RY-OPP-00173931,Closed Won,11147.96,2026-09-09T12:55:25.000+0000
006jX00000066FfQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066FfQAI/view,Strategic Foresight for Leaders - Application Sent,Qualify,2023-07-07,,RY-OPP-00178222,Application Sent,25171.72,2026-09-09T12:53:51.000+0000
006jX00000066fRQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066fRQAQ/view,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Application Received",Qualify,2025-01-05,,RY-OPP-00178387,Application Received,,2026-09-09T12:54:18.000+0000
006jX00000062jvQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062jvQAA/view,Brand as Capital - Application Received,Qualify,2024-11-11,,RY-OPP-00182888,Application Received,22559.63,2026-09-09T12:54:30.000+0000
006jX00000064FVQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064FVQAY/view,Part-Time Higher Certificate in Business Management - Offer Made,Qualify,2026-12-03,,RY-OPP-00183309,Offer Made,,2026-09-09T12:54:27.000+0000
006jX00000066ihQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066ihQAA/view,Business Analysis - Application Sent,Qualify,2026-10-08,,RY-OPP-00186284,Application Sent,14522.19,2026-09-09T12:56:29.000+0000
006jX00000066p7QAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066p7QAA/view,User Experience Design - Closed Won,Qualify,2022-10-12,,RY-OPP-00186441,Closed Won,,2026-09-09T12:56:44.000+0000
006jX00000064sAQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064sAQAQ/view,Data Visualisation for Designers - Qualification,Qualify,2024-11-16,,RY-OPP-00188698,Qualification,14716.09,2026-09-09T12:55:15.000+0000
006jX00000064vSQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064vSQAQ/view,Interior Decorating - Enquiry,Qualify,2024-07-25,,RY-OPP-00192179,Enquiry,12454.09,2026-09-09T12:55:57.000+0000
006jX000000631hQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000631hQAA/view,Desktop Publishing with InDesign - Application Received,Qualify,2025-07-02,,RY-OPP-00197817,Application Received,,2026-09-09T12:59:55.000+0000
006jX00000061pWQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061pWQAQ/view,Performance Marketing - Closed Won,Qualify,2022-12-26,,RY-OPP-00200292,Closed Won,11274.01,2026-09-09T12:52:52.000+0000
006jX00000066XPQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066XPQAY/view,Higher Certificate in Business Management - Closed Lost,Qualify,2023-06-18,,RY-OPP-00201476,Closed Lost,,2026-09-09T12:58:13.000+0000
006jX00000061PhQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061PhQAI/view,Graphic Design Intermediate with Adobe Photoshop - Application Received,Qualify,2024-12-17,,RY-OPP-00206458,Application Received,14941.56,2026-09-09T12:57:12.000+0000
006jX000000614lQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000614lQAA/view,Postgraduate Diploma in Management - Application Received,Qualify,2023-02-02,,RY-OPP-00216030,Application Received,,2026-09-09T12:53:53.000+0000
006jX00000061ccQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061ccQAA/view,Customer Experience - Offer Made,Qualify,2025-10-04,,RY-OPP-00216430,Offer Made,11353.63,2026-09-09T12:58:59.000+0000
006jX00000062nDQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062nDQAQ/view,Graphic Design Beginner - Offer Made,Qualify,2022-12-19,,RY-OPP-00218114,Offer Made,16471.69,2026-09-09T12:59:57.000+0000
006jX00000063uXQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063uXQAQ/view,Sales & Account Management - Enquiry,Qualify,2023-08-30,,RY-OPP-00218993,Enquiry,4856.84,2026-09-09T12:55:33.000+0000
006jX00000063eMQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063eMQAQ/view,Interior Decorating - Closed Won,Qualify,2026-04-08,,RY-OPP-00219461,Closed Won,15878.13,2026-09-09T12:53:25.000+0000
006jX00000063HrQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063HrQAI/view,Public Relations - Closed Lost,Qualify,2026-07-12,,RY-OPP-00223185,Closed Lost,15040.03,2026-09-09T12:57:36.000+0000
006jX00000066nXQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066nXQAQ/view,Interior Decorating - Closed Won,Qualify,2022-05-27,,RY-OPP-00223395,Closed Won,14421.21,2026-09-09T12:59:51.000+0000
006jX00000064owQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064owQAA/view,Copywriting - Application Sent,Qualify,2024-05-10,,RY-OPP-00225566,Application Sent,10076.23,2026-09-09T12:56:59.000+0000
006jX00000063HmQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063HmQAI/view,Customer Experience - Qualification,Qualify,2025-12-23,,RY-OPP-00226678,Qualification,12864.79,2026-09-09T12:53:01.000+0000
006jX00000063T4QAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063T4QAI/view,Operational Finance - Offer Made,Qualify,2026-09-05,,RY-OPP-00227428,Offer Made,12938.2,2026-09-09T12:59:28.000+0000
006jX00000065oGQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065oGQAQ/view,Sports Sponsorship Marketing - Closed Won,Qualify,2024-05-17,,RY-OPP-00228463,Closed Won,,2026-09-09T12:56:03.000+0000
006jX000000651tQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000651tQAA/view,Public Relations - Closed Won,Qualify,2023-11-20,,RY-OPP-00229057,Closed Won,13856.49,2026-09-09T12:57:00.000+0000
006jX00000066NjQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066NjQAI/view,Digital Marketing Professional - Closed Lost,Qualify,2025-01-22,,RY-OPP-00236090,Closed Lost,,2026-09-09T12:57:58.000+0000
006jX00000063rOQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000063rOQAQ/view,People Management - Application Received,Qualify,2023-01-29,,RY-OPP-00236754,Application Received,9837.96,2026-09-09T12:54:22.000+0000
006jX00000061FzQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061FzQAI/view,Management Development Programme: Agency Leadership - Closed Lost,Qualify,2026-02-27,,RY-OPP-00237123,Closed Lost,30864.98,2026-09-09T12:59:09.000+0000
006jX00000062lYQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062lYQAQ/view,Storytelling for Impact & Influence - Application Received,Qualify,2022-06-17,,RY-OPP-00237744,Application Received,6256.61,2026-09-09T12:54:46.000+0000
006jX00000066imQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066imQAA/view,Creative Thinking - Application Received,Qualify,2025-05-02,,RY-OPP-00238223,Application Received,3933.28,2026-09-09T12:58:09.000+0000
006jX00000065DAQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065DAQAY/view,People Management - Closed Lost,Qualify,2023-02-21,,RY-OPP-00242921,Closed Lost,12706.86,2026-09-09T12:58:00.000+0000
006jX00000065ZiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065ZiQAI/view,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Closed Won",Qualify,2023-10-25,,RY-OPP-00249481,Closed Won,,2026-09-09T12:56:35.000+0000
006jX00000062woQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062woQAA/view,Creative Thinking - Offer Made,Qualify,2026-05-13,,RY-OPP-00257918,Offer Made,4064.57,2026-09-09T13:00:00.000+0000
006jX00000066kIQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066kIQAQ/view,AI & Executive Judgement - Closed Lost,Qualify,2024-12-18,,RY-OPP-00258791,Closed Lost,19556.16,2026-09-09T12:58:28.000+0000
006jX00000060oZQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000060oZQAQ/view,Design Thinking - Application Sent,Qualify,2023-01-20,,RY-OPP-00264905,Application Sent,11857.72,2026-09-09T12:58:14.000+0000
006jX00000062VUQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062VUQAY/view,People Management - Closed Lost,Qualify,2024-04-19,,RY-OPP-00265750,Closed Lost,11897.07,2026-09-09T12:56:08.000+0000
006jX000000639lQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000639lQAA/view,Part-Time Postgraduate Diploma in Management - Closed Lost,Qualify,2024-07-18,,RY-OPP-00265809,Closed Lost,,2026-09-09T12:52:42.000+0000
006jX00000066ItQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066ItQAI/view,Postgraduate Diploma in Digital Marketing - Enquiry,Qualify,2023-04-11,,RY-OPP-00266510,Enquiry,,2026-09-09T12:58:55.000+0000
006jX00000060tQQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000060tQQAQ/view,Desktop Publishing with InDesign - Enquiry,Qualify,2022-09-26,,RY-OPP-00269357,Enquiry,,2026-09-09T12:59:30.000+0000
006jX00000062gjQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062gjQAA/view,Part-Time Higher Certificate in Business Management - Application Sent,Qualify,2026-06-13,,RY-OPP-00269434,Application Sent,,2026-09-09T12:55:30.000+0000
006jX00000061PiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061PiQAI/view,Creative Thinking - Offer Made,Qualify,2025-08-13,,RY-OPP-00271677,Offer Made,4361.87,2026-09-09T12:58:29.000+0000
006jX00000064FUQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064FUQAY/view,Digital Marketing Professional - Offer Made,Qualify,2024-10-01,,RY-OPP-00273379,Offer Made,,2026-09-09T12:52:36.000+0000
006jX00000062GuQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062GuQAI/view,Data Visualisation for Designers - Closed Lost,Qualify,2023-11-04,,RY-OPP-00275009,Closed Lost,15640.19,2026-09-09T12:54:45.000+0000
006jX000000620rQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000620rQAA/view,Sports Sponsorship Marketing - Application Sent,Qualify,2024-03-18,,RY-OPP-00277592,Application Sent,,2026-09-09T12:55:55.000+0000
006jX00000062VTQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062VTQAY/view,Project Management - Closed Lost,Qualify,2026-06-26,,RY-OPP-00280922,Closed Lost,11656.35,2026-09-09T12:55:02.000+0000
006jX00000062GvQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062GvQAI/view,Design Thinking - Application Sent,Qualify,2026-02-06,,RY-OPP-00281254,Application Sent,10686.08,2026-09-09T12:54:48.000+0000
006jX00000062dWQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062dWQAQ/view,Customer Experience - Enquiry,Qualify,2024-10-15,,RY-OPP-00291570,Enquiry,13335.0,2026-09-09T12:56:52.000+0000
006jX00000061KqQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000061KqQAI/view,Data Analysis - Application Received,Qualify,2024-08-17,,RY-OPP-00293372,Application Received,9724.34,2026-09-09T12:54:43.000+0000
006jX00000062dXQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062dXQAQ/view,Digital Marketing Professional - Qualification,Qualify,2022-12-28,,RY-OPP-00297604,Qualification,,2026-09-09T12:56:53.000+0000
006jX000000631fQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000631fQAA/view,Media Planning - Closed Lost,Qualify,2025-10-15,,RY-OPP-00304213,Closed Lost,10740.85,2026-09-09T12:58:52.000+0000
