RY_External_ID__c,Title__c,Category__c,Credential_Text__c,Listed_Body__c
RY-DIRTY-PROG-040,Part-Time Postgraduate Diploma in Management,Postgraduate programme,,Council on Higher Education (CHE)
RY-DIRTY-PROG-041,Part-Time Higher Certificate in Business Management,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-042,Part-Time Higher Certificate in Marketing and Branding,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-043,Brand as Capital,Executive education,R&Y Certificate of Completion,
RY-DIRTY-PROG-044,Rebel Leadership,Executive education,R&Y Certificate of Completion,
RY-DIRTY-PROG-045,Management Development Programme: Agency Leadership,Executive education,R&Y Certificate of Completion,
RY-DIRTY-PROG-046,Sports Sponsorship Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-047,Sustainable Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-048,Operational Finance,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-049,Part-Time Postgraduate Diploma in Digital Marketing,Postgraduate programme,,Council on Higher Education (CHE)
RY-DIRTY-PROG-050,Part-Time Higher Certificate in Graphic Design,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-051,Strategic Foresight for Leaders,Executive education,R&Y Certificate of Completion,
RY-DIRTY-PROG-052,AI & Executive Judgement,Executive education,R&Y Certificate of Completion,
RY-DIRTY-PROG-053,People Management,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-054,Public Relations,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-055,Account Leadership,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-056,B2B Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-057,AI for Copywriting,Micro course,,
RY-DIRTY-PROG-058,AI for Design Thinking,Micro course,,
RY-DIRTY-PROG-059,AI for Educators,Micro course,,
RY-DIRTY-PROG-060,AI for HR,Micro course,,
RY-DIRTY-PROG-061,AI for Management Insights,Micro course,,
RY-DIRTY-PROG-062,AI for User Experience,Micro course,,
RY-DIRTY-PROG-063,Prompt Engineering,Micro course,,
RY-DIRTY-PROG-064,Responsible Advertising and the Advertising Regulatory Board,Micro course,,
RY-DIRTY-PROG-065,Responsible Influencer Marketing,Micro course,,
RY-DIRTY-PROG-066,AI for Graphic Designers,Micro course,,
RY-DIRTY-PROG-067,Generative AI for Business,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-068,Work Readiness,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-069,Instructional Design,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-070,Customer Service Course,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-071,Digital Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-072,Search Engine Optimisation,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-073,Front-End Web Development,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-074,Website Design,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-075,MarTech & CRM Strategy,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-076,ACA Graduate Programme for Agencies,Qualification,,Skills Education Training Authority (SETA)
RY-DIRTY-PROG-077,Part-Time Advanced Diploma in Digital Marketing,Advanced diploma,,Council on Higher Education (CHE)
RY-DIRTY-PROG-078,Design Thinking Practitioner,Qualification,,Quality Council for Trades and Occupations (QCTO)
RY-DIRTY-PROG-079,Project Manager,Qualification,,Quality Council for Trades and Occupations (QCTO)
RY-DIRTY-PROG-080,Part-Time Advanced Diploma in User Centered Design,Advanced diploma,,Council on Higher Education (CHE)
RY-DIRTY-PROG-081,Part-Time Advanced Diploma in Copywriting,Advanced diploma,,Council on Higher Education (CHE)
RY-DIRTY-PROG-082,Part-Time Advanced Diploma in Marketing & Advertising Communications,Advanced diploma,,Council on Higher Education (CHE)
RY-DIRTY-PROG-083,Bachelor of Business Administration: Marketing and Brand Management,Degree,,
RY-DIRTY-PROG-001-DUP01,advanced diploma in copywriting ,advanced diploma ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-021-DUP02,DATA ANALYSIS,Short course,R&Y Certificate of Completion,
