listing_id,programme_name,catalogue_section,proposed_category,study_pace,duration_value,duration_unit,start_date,advertised_fee_zar,price_status,credential_text,listed_body,source_ids,source_url,observed_date,notes
RY-CAT-013,Postgraduate Diploma in Management,On-campus,Postgraduate programme,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A04,https://www.redandyellow.co.za/on-campus,2026-09-08,
RY-CAT-014,Postgraduate Diploma in Digital Marketing,On-campus,Postgraduate programme,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A04,https://www.redandyellow.co.za/on-campus,2026-09-08,
RY-CAT-015,Advanced Diploma in Marketing & Advertising Communications,On-campus,Advanced diploma,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),A04,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-016,Design Thinking,Online education,Short course,Not stated,10,Weeks,2026-09-14,13500,Published,R&Y Certificate of Completion,,A05,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-017,Performance Marketing,Online education,Short course,Not stated,11,Weeks,2026-09-21,13500,Published,R&Y Certificate of Completion,,A05,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-018,Graphic Design Beginner,Online education,Short course,Not stated,16,Weeks,2026-09-21,16500,Published,R&Y Certificate of Completion,,A05,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-019,User Experience Design,Online education,Short course,Not stated,10,Weeks,2026-09-21,13500,Published,R&Y Certificate of Completion,,"A05,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-020,Business Analysis,Online education,Short course,Not stated,14,Weeks,2026-09-28,14900,Published,R&Y Certificate of Completion,,A05,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-021,Data Analysis,Online education,Short course,Not stated,11,Weeks,2026-09-28,13500,Published,R&Y Certificate of Completion,,A05,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-022,Storytelling for Impact & Influence,Online education,Short course,Not stated,6,Weeks,2026-09-28,6500,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-023,Interior Decorating,Online education,Short course,Not stated,11,Weeks,2026-09-28,16500,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-024,Creative Thinking,Online education,Short course,Not stated,7,Weeks,2026-09-28,4900,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-025,Project Management,Online education,Short course,Not stated,11,Weeks,2026-09-28,13500,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-026,Media Planning,Online education,Short course,Not stated,10,Weeks,2026-10-05,13500,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-027,Mentorship,Online education,Short course,Not stated,6,Weeks,2026-10-05,6500,Published,R&Y Certificate of Completion,,A06,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-028,Sales & Account Management,Online education,Short course,Not stated,7,Weeks,2026-10-26,4900,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-029,Digital Content & Copywriting,Online education,Short course,Not stated,13,Weeks,2026-10-26,14900,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-030,Copywriting,Online education,Short course,Not stated,11,Weeks,2026-11-02,13500,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-031,Data Visualisation for Designers,Online education,Short course,Not stated,12,Weeks,2026-11-02,16500,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-032,Graphic Design Intermediate with Adobe Photoshop,Online education,Short course,Not stated,15,Weeks,2026-11-09,16500,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-033,Customer Experience,Online education,Short course,Not stated,11,Weeks,2026-11-09,13500,Published,R&Y Certificate of Completion,,A07,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-034,Data Analysis for Marketers,Online education,Short course,Not stated,11,Weeks,2026-11-16,13500,Published,R&Y Certificate of Completion,,A08,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-035,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",Online education,Certificate,Not stated,1,Years,2026-11-16,,Enquire,,Quality Council for Trades and Occupations (QCTO),A08,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-036,Marketing Strategy,Online education,Short course,Not stated,6,Weeks,2026-11-23,9000,Published,R&Y Certificate of Completion,,A08,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-037,Digital Marketing Professional,Online education,Short course,Not stated,16,Weeks,2027-01-25,24500,Published,R&Y Certificate of Completion,,"A08,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-038,Social Media Marketing,Online education,Short course,Not stated,10,Weeks,2027-01-25,14900,Published,R&Y Certificate of Completion,,"A08,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-039,Desktop Publishing with InDesign,Online education,Short course,Not stated,11,Weeks,2027-02-01,16500,Published,R&Y Certificate of Completion,,"A08,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-040,Shopper Marketing,Online education,Short course,Not stated,11,Weeks,2027-02-15,16500,Published,R&Y Certificate of Completion,,A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-041,Part-Time Postgraduate Diploma in Management,Online education,Postgraduate programme,Part-time,2,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-042,Part-Time Higher Certificate in Business Management,Online education,Certificate,Part-time,2,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-043,Part-Time Higher Certificate in Marketing and Branding,Online education,Certificate,Part-time,2,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-044,Higher Certificate in Marketing and Branding,Online education,Certificate,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-045,Higher Certificate in Business Management,Online education,Certificate,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A09,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-046,Brand as Capital,Online education,Executive education,Not stated,7,Weeks,2027-02-15,27000,Published,R&Y Certificate of Completion,,A10,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-CAT-047,Rebel Leadership,Online education,Executive education,Not stated,7,Weeks,2027-02-15,27000,Published,R&Y Certificate of Completion,,A10,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-CAT-048,Management Development Programme: Agency Leadership,Online education,Executive education,Not stated,6,Months,2027-02-22,36500,Published,R&Y Certificate of Completion,,A10,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-CAT-049,Sports Sponsorship Marketing,Online education,Short course,Not stated,10,Weeks,2027-02-22,19750,Published,R&Y Certificate of Completion,,"A10,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-050,Sustainable Marketing,Online education,Short course,Not stated,9,Weeks,2027-02-22,10900,Published,R&Y Certificate of Completion,,"A10,WEB-20260910",https://www.redandyellow.co.za/find-your-learning-journey,2026-09-10,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation. Published fee verified against Red & Yellow's current learning journey on 2026-09-10.
RY-CAT-051,Operational Finance,Online education,Short course,Not stated,11,Weeks,2027-03-01,13500,Published,R&Y Certificate of Completion,,A10,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-052,Part-Time Postgraduate Diploma in Digital Marketing,Online education,Postgraduate programme,Part-time,2,Years,2027-03-01,,Enquire,,Council on Higher Education (CHE),A11,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-053,Part-Time Higher Certificate in Graphic Design,Online education,Certificate,Part-time,1,Years,2027-03-01,,Enquire,,Council on Higher Education (CHE),A11,https://www.redandyellow.co.za/online-ed,2026-09-08,Screenshot says 1 year; retained as shown despite other part-time certificates showing 2 years. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-054,Strategic Foresight for Leaders,Online education,Executive education,Not stated,7,Weeks,2027-03-01,27000,Published,R&Y Certificate of Completion,,A11,https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-CAT-055,AI & Executive Judgement,Online education,Executive education,Not stated,7,Weeks,2027-03-01,27000,Published,R&Y Certificate of Completion,,"A11,B01",https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-CAT-056,People Management,Online education,Short course,Not stated,11,Weeks,2027-03-08,13500,Published,R&Y Certificate of Completion,,"A11,B01",https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-057,Public Relations,Online education,Short course,Not stated,11,Weeks,2027-03-23,16500,Published,R&Y Certificate of Completion,,"A11,B01",https://www.redandyellow.co.za/online-ed,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-058,Account Leadership,Online education,Short course,Not stated,13,Weeks,,13500,Published,R&Y Certificate of Completion,,B01,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-059,B2B Marketing,Online education,Short course,Not stated,11,Weeks,,13500,Published,R&Y Certificate of Completion,,B01,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-060,AI for Copywriting,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B01,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-061,AI for Design Thinking,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-062,AI for Educators,Online education,Micro course,Not stated,1,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-063,AI for HR,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-064,AI for Management Insights,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-065,AI for User Experience,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-066,Prompt Engineering,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B02,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-067,Responsible Advertising and the Advertising Regulatory Board,Online education,Micro course,Not stated,3,Weeks,,1900,Published,,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-068,Responsible Influencer Marketing,Online education,Micro course,Not stated,1,Hours,,250,Published,,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-069,AI for Graphic Designers,Online education,Micro course,Not stated,2,Weeks,,1900,Published,,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-070,Generative AI for Business,Online education,Short course,Not stated,11,Weeks,,13500,Published,R&Y Certificate of Completion,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-071,Work Readiness,Online education,Short course,Not stated,8,Weeks,,9900,Published,R&Y Certificate of Completion,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-072,Instructional Design,Online education,Short course,Not stated,12,Weeks,,13500,Published,R&Y Certificate of Completion,,B03,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-073,Customer Service Course,Online education,Short course,Not stated,7,Weeks,,4900,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-074,Digital Marketing,Online education,Short course,Not stated,10,Weeks,,16500,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-075,Search Engine Optimisation,Online education,Short course,Not stated,10,Weeks,,13500,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-076,Front-End Web Development,Online education,Short course,Not stated,11,Weeks,,16500,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-077,Website Design,Online education,Short course,Not stated,11,Weeks,,16500,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-078,MarTech & CRM Strategy,Online education,Short course,Not stated,11,Weeks,,13500,Published,R&Y Certificate of Completion,,B04,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-079,ACA Graduate Programme for Agencies,Online education,Qualification,Not stated,1,Years,,,Enquire,,Skills Education Training Authority (SETA),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-080,Part-Time Advanced Diploma in Digital Marketing,Online education,Advanced diploma,Part-time,2,Years,,,Enquire,,Council on Higher Education (CHE),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-081,Design Thinking Practitioner,Online education,Qualification,Not stated,1,Years,,,Enquire,,Quality Council for Trades and Occupations (QCTO),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-082,Project Manager,Online education,Qualification,Not stated,2,Years,,,Not shown,,Quality Council for Trades and Occupations (QCTO),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-083,Part-Time Advanced Diploma in User Centered Design,Online education,Advanced diploma,Part-time,2,Years,,,Not shown,,Council on Higher Education (CHE),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-084,Bachelor of Commerce in Marketing,Online education,Degree,Not stated,3,Years,,,Not shown,,Council on Higher Education (CHE),B05,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-085,Part-Time Advanced Diploma in Copywriting,Online education,Advanced diploma,Part-time,2,Years,,,Enquire,,Council on Higher Education (CHE),B06,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-086,Part-Time Advanced Diploma in Marketing & Advertising Communications,Online education,Advanced diploma,Part-time,2,Years,,,Enquire,,Council on Higher Education (CHE),B06,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-087,Postgraduate Diploma: Creative Leadership,Online education,Postgraduate programme,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),B06,https://www.redandyellow.co.za/online-ed,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-088,Bachelor of Arts Honours in Visual Communication Design,Online education,Postgraduate programme,Not stated,,,,,Not shown,,,B06,https://www.redandyellow.co.za/online-ed,2026-09-08,Duration not visible on this listing; not copied from another offering. No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-CAT-089,Bachelor of Business Administration: Marketing and Brand Management,Online education,Degree,Not stated,,,,,Not shown,,,B06,https://www.redandyellow.co.za/online-ed,2026-09-08,Duration not visible on this listing; not copied from another offering. No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
